id,label,type,canonical_id,domain,description
HEX_31_함,HEX_31_함,iching_alias,HEX_31,iching,HEX_31_함 alias of HEX_31.
HEX_32_항,HEX_32_항,iching_alias,HEX_32,iching,HEX_32_항 alias of HEX_32.
HEX_33_둔,HEX_33_둔,iching_alias,HEX_33,iching,HEX_33_둔 alias of HEX_33.
HEX_34_대장,HEX_34_대장,iching_alias,HEX_34,iching,HEX_34_대장 alias of HEX_34.
HEX_35_진,HEX_35_진,iching_alias,HEX_35,iching,HEX_35_진 alias of HEX_35.
HEX_36_명이,HEX_36_명이,iching_alias,HEX_36,iching,HEX_36_명이 alias of HEX_36.
HEX_37_가인,HEX_37_가인,iching_alias,HEX_37,iching,HEX_37_가인 alias of HEX_37.
HEX_38_규,HEX_38_규,iching_alias,HEX_38,iching,HEX_38_규 alias of HEX_38.
HEX_39_건,HEX_39_건,iching_alias,HEX_39,iching,HEX_39_건 alias of HEX_39.
HEX_40_해,HEX_40_해,iching_alias,HEX_40,iching,HEX_40_해 alias of HEX_40.
